fund_name,nav_date,nav_value
DSP Midcap Fund – Direct Plan – Growth,2014-03-21,20.82
DSP Midcap Fund – Direct Plan – Growth,2014-03-24,20.934
DSP Midcap Fund – Direct Plan – Growth,2014-03-25,21.121
DSP Midcap Fund – Direct Plan – Growth,2014-03-26,21.229
DSP Midcap Fund – Direct Plan – Growth,2014-03-27,21.359
DSP Midcap Fund – Direct Plan – Growth,2014-03-28,21.667
DSP Midcap Fund – Direct Plan – Growth,2014-03-31,21.985
DSP Midcap Fund – Direct Plan – Growth,2014-04-01,21.894
DSP Midcap Fund – Direct Plan – Growth,2014-04-02,22.265
DSP Midcap Fund – Direct Plan – Growth,2014-04-03,22.273
DSP Midcap Fund – Direct Plan – Growth,2014-04-04,22.22
DSP Midcap Fund – Direct Plan – Growth,2014-04-07,22.145
DSP Midcap Fund – Direct Plan – Growth,2014-04-09,22.496
DSP Midcap Fund – Direct Plan – Growth,2014-04-10,22.671
DSP Midcap Fund – Direct Plan – Growth,2014-04-11,22.719
DSP Midcap Fund – Direct Plan – Growth,2014-04-15,22.505
DSP Midcap Fund – Direct Plan – Growth,2014-04-16,22.27
DSP Midcap Fund – Direct Plan – Growth,2014-04-17,22.753
DSP Midcap Fund – Direct Plan – Growth,2014-04-21,23.017
DSP Midcap Fund – Direct Plan – Growth,2014-04-22,22.93
DSP Midcap Fund – Direct Plan – Growth,2014-04-23,22.916
DSP Midcap Fund – Direct Plan – Growth,2014-04-25,22.732
DSP Midcap Fund – Direct Plan – Growth,2014-04-28,22.609
DSP Midcap Fund – Direct Plan – Growth,2014-04-29,22.428
DSP Midcap Fund – Direct Plan – Growth,2014-04-30,22.176
DSP Midcap Fund – Direct Plan – Growth,2014-05-02,22.183
DSP Midcap Fund – Direct Plan – Growth,2014-05-05,22.17
DSP Midcap Fund – Direct Plan – Growth,2014-05-06,22.159
DSP Midcap Fund – Direct Plan – Growth,2014-05-07,22.232
DSP Midcap Fund – Direct Plan – Growth,2014-05-08,22.213
DSP Midcap Fund – Direct Plan – Growth,2014-05-09,22.55
