date,fund_name,nav,cap,fund_type
2013-08-17,DSP Midcap Fund,15.495,Mid Cap,Equity
2013-08-18,DSP Midcap Fund,15.495,Mid Cap,Equity
2013-08-19,DSP Midcap Fund,15.319,Mid Cap,Equity
2013-08-20,DSP Midcap Fund,15.257,Mid Cap,Equity
2013-08-21,DSP Midcap Fund,15.104,Mid Cap,Equity
2013-08-22,DSP Midcap Fund,15.169,Mid Cap,Equity
2013-08-23,DSP Midcap Fund,15.291,Mid Cap,Equity
2013-08-24,DSP Midcap Fund,15.291,Mid Cap,Equity
2013-08-25,DSP Midcap Fund,15.291,Mid Cap,Equity
2013-08-26,DSP Midcap Fund,15.437,Mid Cap,Equity
2013-08-27,DSP Midcap Fund,15.136,Mid Cap,Equity
2013-08-28,DSP Midcap Fund,14.918,Mid Cap,Equity
2013-08-29,DSP Midcap Fund,15.054,Mid Cap,Equity
2013-08-30,DSP Midcap Fund,15.028,Mid Cap,Equity
2013-08-31,DSP Midcap Fund,15.028,Mid Cap,Equity
2013-09-01,DSP Midcap Fund,15.028,Mid Cap,Equity
2013-09-02,DSP Midcap Fund,15.212,Mid Cap,Equity
2013-09-03,DSP Midcap Fund,15.044,Mid Cap,Equity
2013-09-04,DSP Midcap Fund,15.227,Mid Cap,Equity
2013-09-05,DSP Midcap Fund,15.436,Mid Cap,Equity
2013-09-06,DSP Midcap Fund,15.45,Mid Cap,Equity
2013-09-07,DSP Midcap Fund,15.45,Mid Cap,Equity
2013-09-08,DSP Midcap Fund,15.45,Mid Cap,Equity
2013-09-09,DSP Midcap Fund,15.45,Mid Cap,Equity
2013-09-10,DSP Midcap Fund,15.731,Mid Cap,Equity
2013-09-11,DSP Midcap Fund,15.938,Mid Cap,Equity
2013-09-12,DSP Midcap Fund,16.028,Mid Cap,Equity
2013-09-13,DSP Midcap Fund,16.061,Mid Cap,Equity
2013-09-14,DSP Midcap Fund,16.061,Mid Cap,Equity
2013-09-15,DSP Midcap Fund,16.061,Mid Cap,Equity
2013-09-16,DSP Midcap Fund,16.023,Mid Cap,Equity
2013-09-17,DSP Midcap Fund,15.965,Mid Cap,Equity
2013-09-18,DSP Midcap Fund,16.108,Mid Cap,Equity
2013-09-19,DSP Midcap Fund,16.367,Mid Cap,Equity
2013-09-20,DSP Midcap Fund,16.181,Mid Cap,Equity
2013-09-21,DSP Midcap Fund,16.181,Mid Cap,Equity
2013-09-22,DSP Midcap Fund,16.181,Mid Cap,Equity
2013-09-23,DSP Midcap Fund,16.051,Mid Cap,Equity
2013-09-24,DSP Midcap Fund,16.128,Mid Cap,Equity
2013-09-25,DSP Midcap Fund,16.192,Mid Cap,Equity
2013-09-26,DSP Midcap Fund,16.177,Mid Cap,Equity
2013-09-27,DSP Midcap Fund,16.259,Mid Cap,Equity
2013-09-28,DSP Midcap Fund,16.259,Mid Cap,Equity
2013-09-29,DSP Midcap Fund,16.259,Mid Cap,Equity
2013-09-30,DSP Midcap Fund,16.39,Mid Cap,Equity
2013-10-01,DSP Midcap Fund,16.52,Mid Cap,Equity
2013-10-02,DSP Midcap Fund,16.52,Mid Cap,Equity
2013-10-03,DSP Midcap Fund,16.748,Mid Cap,Equity
2013-10-04,DSP Midcap Fund,16.9,Mid Cap,Equity
2013-10-05,DSP Midcap Fund,16.9,Mid Cap,Equity
2013-10-06,DSP Midcap Fund,16.9,Mid Cap,Equity
2013-10-07,DSP Midcap Fund,17.103,Mid Cap,Equity
2013-10-08,DSP Midcap Fund,17.24,Mid Cap,Equity
2013-10-09,DSP Midcap Fund,17.366,Mid Cap,Equity
2013-10-10,DSP Midcap Fund,17.494,Mid Cap,Equity
2013-10-11,DSP Midcap Fund,17.474,Mid Cap,Equity
2013-10-12,DSP Midcap Fund,17.474,Mid Cap,Equity
2013-10-13,DSP Midcap Fund,17.474,Mid Cap,Equity
2013-10-14,DSP Midcap Fund,17.514,Mid Cap,Equity
